NCBI_Gene_ID,Ensembl_gene_ID,gene_symbol,HGNC_ID,gene_name,Status,Previous_symbols,Alias_symbols,Accession_numbers,RefSeq_IDs
49860,ENSG00000143536,CRNN,HGNC:1230,cornulin,Approved,C1orf10,SEP53,AF077831,NM_016190
9696,ENSG00000058453,CROCC,HGNC:21299,"ciliary rootlet coiled-coil, rootletin",Approved,NA,"rootletin, ROLT",AB007914,NM_014675
728763,ENSG00000226321,CROCC2,HGNC:51677,"ciliary rootlet coiled-coil, rootletin family member 2",Approved,NA,NA,NA,NA
392547,ENSG00000225769,CROCCP1,HGNC:33602,CROCC pseudogene 1,Approved,CROCCP,NA,NA,NG_009690
84809,ENSG00000215908,CROCCP2,HGNC:28170,CROCC pseudogene 2,Approved,CROCCL1,MGC12760,AK090414,NR_026752.1
114819,ENSG00000080947,CROCCP3,HGNC:29405,CROCC pseudogene 3,Approved,CROCCL2,KIAA1922,AB067509,XM_057040
100421113,ENSG00000227684,CROCCP4,HGNC:43864,CROCC pseudogene 4,Approved,NA,NA,NA,NG_027067
100421114,ENSG00000186543,CROCCP5,HGNC:43865,CROCC pseudogene 5,Approved,NA,NA,NA,NG_027071
54677,ENSG00000005469,CROT,HGNC:2366,carnitine O-octanoyltransferase,Approved,NA,COT,NA,NM_021151
1401,ENSG00000132693,CRP,HGNC:2367,C-reactive protein,Approved,NA,PTX1,M11725,NM_000567
171422,ENSG00000223603,CRPP1,HGNC:2368,C-reactive protein pseudogene 1,Approved,NA,NA,NA,NA
729920,ENSG00000214960,CRPPA,HGNC:37276,CDP-L-ribitol pyrophosphorylase A,Approved,ISPD,"hCG_1745121, IspD, Nip",AK124805,NM_001101426
100506025,ENSG00000229688,CRPPA-AS1,HGNC:48962,CRPPA antisense RNA 1,Approved,ISPD-AS1,NA,NA,NA
10688,NA,CRSP5,HGNC:2374,cofactor required for Sp1 transcriptional activation subunit 5,Approved,NA,CRSP85,NA,NA
55118,ENSG00000095713,CRTAC1,HGNC:14882,cartilage acidic protein 1,Approved,NA,"FLJ10320, CEP-68, ASPIC1",AJ276171,NM_018058
56253,ENSG00000109943,CRTAM,HGNC:24313,cytotoxic and regulatory T cell molecule,Approved,NA,CD355,AF001622,NM_019604
10491,ENSG00000170275,CRTAP,HGNC:2379,cartilage associated protein,Approved,NA,"CASP, LEPREL3, P3H5",AJ006470,NA
23373,ENSG00000105662,CRTC1,HGNC:16062,CREB regulated transcription coactivator 1,Approved,MECT1,"KIAA0616, FLJ14027, TORC1",AY040323,NM_025021
129656,ENSG00000204993,CRTC1P1,HGNC:54616,CRTC1 pseudogene 1,Approved,NA,NA,NA,NG_021564
200186,ENSG00000160741,CRTC2,HGNC:27301,CREB regulated transcription coactivator 2,Approved,NA,TORC2,AY360172,NM_181715
64784,ENSG00000140577,CRTC3,HGNC:26148,CREB regulated transcription coactivator 3,Approved,NA,FLJ21868,NA,NM_022769
101926895,ENSG00000259736,CRTC3-AS1,HGNC:51433,CRTC3 antisense RNA 1,Approved,NA,NA,BG472948,NR_120372
1406,ENSG00000105392,CRX,HGNC:2383,cone-rod homeobox,Approved,CORD2,"CRD, LCA7, OTX3",AF024711,NM_000554
1407,ENSG00000008405,CRY1,HGNC:2384,cryptochrome circadian regulator 1,Approved,PHLL1,NA,BC030519,NM_004075
1408,ENSG00000121671,CRY2,HGNC:2385,cryptochrome circadian regulator 2,Approved,NA,NA,AB014558,NM_021117
1409,ENSG00000160202,CRYAA,HGNC:2388,crystallin alpha A,Approved,CRYA1,HSPB4,NA,NA
102724652,ENSG00000276076,CRYAA2,HGNC:51901,crystallin alpha A2,Approved,NA,NA,NA,NA
1410,ENSG00000109846,CRYAB,HGNC:2389,crystallin alpha B,Approved,CRYA2,HSPB5,NA,NA
1411,ENSG00000108255,CRYBA1,HGNC:2394,crystallin beta A1,Approved,CRYB1,NA,NA,NM_005208
1412,ENSG00000163499,CRYBA2,HGNC:2395,crystallin beta A2,Approved,NA,NA,NA,NM_057093
1413,ENSG00000196431,CRYBA4,HGNC:2396,crystallin beta A4,Approved,NA,NA,NA,NM_001886
1414,ENSG00000100122,CRYBB1,HGNC:2397,crystallin beta B1,Approved,NA,NA,NA,NM_001887
1415,ENSG00000244752,CRYBB2,HGNC:2398,crystallin beta B2,Approved,"CCA2, CRYB2A, CRYB2",NA,NA,NM_000496
1416,ENSG00000100058,CRYBB2P1,HGNC:2399,crystallin beta B2 pseudogene 1,Approved,CRYB2B,NA,M18441,NA
1417,ENSG00000100053,CRYBB3,HGNC:2400,crystallin beta B3,Approved,CRYB3,NA,NA,NM_004076
202,ENSG00000112297,CRYBG1,HGNC:356,crystallin beta-gamma domain containing 1,Approved,"ST4, AIM1",NA,U83115,NA
55057,ENSG00000176092,CRYBG2,HGNC:17295,crystallin beta-gamma domain containing 2,Approved,AIM1L,FLJ38020,NA,NM_001039775.2
131544,ENSG00000080200,CRYBG3,HGNC:34427,crystallin beta-gamma domain containing 3,Approved,NA,DKFZp667G2110,NA,NM_153605
1418,ENSG00000168582,CRYGA,HGNC:2408,crystallin gamma A,Approved,CRYG1,"CRYG5, CRY-g-A",NA,NM_014617
1419,ENSG00000182187,CRYGB,HGNC:2409,crystallin gamma B,Approved,CRYG2,NA,NA,NM_005210
1420,ENSG00000163254,CRYGC,HGNC:2410,crystallin gamma C,Approved,CRYG3,NA,NA,NM_020989
1421,ENSG00000118231,CRYGD,HGNC:2411,crystallin gamma D,Approved,CRYG4,NA,NA,NM_006891
200575,ENSG00000229150,CRYGEP,HGNC:2412,"crystallin gamma E, pseudogene",Approved,"CRYG5, CCL, CRYGEP1",G2,K03007,NA
1423,ENSG00000232799,CRYGFP,HGNC:2413,"crystallin gamma F, pseudogene",Approved,"CRYG6, CRYGFP1",p1,K03009,NA
1424,ENSG00000223710,CRYGGP,HGNC:2414,"crystallin gamma G, pseudogene",Approved,CRYGGP1,NA,X52628,NA
155051,ENSG00000127377,CRYGN,HGNC:20458,crystallin gamma N,Approved,NA,NA,AF445455,NA
1427,ENSG00000213139,CRYGS,HGNC:2417,crystallin gamma S,Approved,CRYG8,NA,NA,NM_017541
51084,ENSG00000165475,CRYL1,HGNC:18246,crystallin lambda 1,Approved,NA,"GDH, lambda-CRY, MGC149525, MGC149526",AF077049,NM_015974
1428,ENSG00000103316,CRYM,HGNC:2418,crystallin mu,Approved,NA,DFNA40,NA,NA
400508,ENSG00000189149,CRYM-AS1,HGNC:34405,CRYM antisense RNA 1,Approved,NCRNA00169,FLJ41766,NA,NR_026675
1429,ENSG00000116791,CRYZ,HGNC:2419,crystallin zeta,Approved,NA,NA,NA,NA
9946,ENSG00000205758,CRYZL1,HGNC:2420,crystallin zeta like 1,Approved,NA,"QOH-1, 4P11",AF029689,NM_145858
730102,ENSG00000242193,CRYZL2P,HGNC:52164,"crystallin zeta like 2, pseudogene",Approved,NA,NA,NA,NA
111240474,ENSG00000254154,CRYZL2P-SEC16B,HGNC:53757,CRYZL2P-SEC16B readthrough,Approved,NA,NA,NA,NA
1430,ENSG00000233025,CRYZP1,HGNC:2421,crystallin zeta pseudogene 1,Approved,NA,NA,L31527,NA
100526735,ENSG00000250293,CRYZP2,HGNC:49203,crystallin zeta pseudogene 2,Approved,NA,NA,NA,NA
1431,ENSG00000062485,CS,HGNC:2422,citrate synthase,Approved,NA,NA,NA,NM_004077
51380,ENSG00000139631,CSAD,HGNC:18966,cysteine sulfinic acid decarboxylase,Approved,NA,"PCAP, CSD",AB044561,NM_015989
158511,ENSG00000198930,CSAG1,HGNC:24294,chondrosarcoma associated gene 1,Approved,NA,"CSAGE, CT24.1",AF268419,NM_153479
102723547,ENSG00000268902,CSAG2,HGNC:16847,CSAG family member 2,Approved,CSAG3B,"TRAG3, CT24.2",AF080246,NM_001080848
389903,ENSG00000268916,CSAG3,HGNC:26237,CSAG family member 3,Approved,CSAG3A,NA,BC007228,NM_203311
100130935,ENSG00000242599,CSAG4,HGNC:20923,CSAG family member 4 (pseudogene),Approved,NA,NA,BC013171,NA
